timestamp_ms,station_id,unit_id,defect_type,severity,result
443152,S10,U000001,,,PASS
492174,S10,U000002,,,PASS
571436,S10,U000003,,,PASS
647040,S10,U000004,,,PASS
725811,S10,U000005,,,PASS
778542,S10,U000006,,,PASS
829482,S10,U000007,,,PASS
899485,S10,U000008,,,PASS
968866,S10,U000009,,,PASS
975823,S21,U000001,,,PASS
1040024,S10,U000010,,,PASS
1040995,S21,U000002,,,PASS
1091538,S10,U000011,,,PASS
1125774,S21,U000003,,,PASS
1168194,S10,U000012,,,PASS
1215691,S21,U000004,,,PASS
1234487,S10,U000013,,,PASS
1296104,S21,U000005,,,PASS
1304700,S10,U000014,,,PASS
1356268,S10,U000015,,,PASS
1358460,S21,U000006,,,PASS
1428804,S10,U000016,,,PASS
1432848,S21,U000007,,,PASS
1475035,S10,U000017,,,PASS
1475750,S31,U000001,,,PASS
1517880,S21,U000008,,,PASS
1524924,S10,U000018,,,PASS
1527202,S31,U000002,,,PASS
1569193,S21,U000009,,,PASS
1577050,S10,U000019,,,PASS
1633207,S10,U000020,,,PASS
1657011,S21,U000010,,,PASS
1657969,S31,U000003,,,PASS
1687939,S10,U000021,,,PASS
1715395,S21,U000011,,,PASS
1732428,S31,U000004,,,PASS
1736900,S10,U000022,,,PASS
1784899,S10,U000023,,,PASS
1786413,S21,U000012,,,PASS
1791191,S31,U000005,,,PASS
1838430,S21,U000013,,,PASS
1855343,S10,U000024,,,PASS
1865218,S31,U000006,,,PASS
1899582,S21,U000014,,,PASS
1905705,S10,U000025,,,PASS
1939871,S31,U000007,,,PASS
1963677,S10,U000026,,,PASS
1979116,S21,U000015,,,PASS
2002920,S31,U000008,,,PASS
2023824,S10,U000027,,,PASS
2031149,S21,U000016,,,PASS
2071920,S31,U000009,,,PASS
2084266,S10,U000028,,,PASS
2086909,S21,U000017,,,PASS
2125916,S31,U000010,,,PASS
2133681,S10,U000029,,,PASS
2140244,S21,U000018,,,PASS
2186199,S31,U000011,,,PASS
2195761,S10,U000030,,,PASS
2195983,S21,U000019,,,PASS
2254672,S10,U000031,,,PASS
2260043,S21,U000020,,,PASS
2296569,S31,U000012,,,PASS
2304598,S21,U000021,,,PASS
2307790,S10,U000032,,,PASS
2362264,S10,U000033,,,PASS
2362891,S31,U000013,,,PASS
2368412,S21,U000022,,,PASS
2416396,S31,U000014,,,PASS
2436015,S21,U000023,,,PASS
2467886,S10,U000034,,,PASS
2476758,S31,U000015,,,PASS
2509947,S21,U000024,,,PASS
2521339,S10,U000035,,,PASS
2526623,S31,U000016,,,PASS
2579918,S21,U000025,,,PASS
2599446,S10,U000036,,,PASS
2601243,S31,U000017,,,PASS
2634898,S21,U000026,,,PASS
2656018,S31,U000018,,,PASS
2668464,S10,U000037,,,PASS
2690727,S21,U000027,,,PASS
2707749,S31,U000019,,,PASS
2723866,S10,U000038,,,PASS
2759216,S21,U000028,,,PASS
2762707,S31,U000020,,,PASS
2774657,S10,U000039,,,PASS
2812395,S31,U000021,,,PASS
2818737,S21,U000029,,,PASS
2870299,S31,U000022,,,PASS
2882970,S10,U000040,,,PASS
2887187,S21,U000030,,,PASS
2935563,S21,U000031,,,PASS
2937088,S31,U000023,,,PASS
2946017,S10,U000041,,,PASS
2989839,S31,U000024,,,PASS
3001564,S10,U000042,,,PASS
3018699,S21,U000032,,,PASS
3064439,S10,U000043,,,PASS
3085868,S21,U000033,,,PASS
3091932,S31,U000025,,,PASS
3114937,S10,U000044,,,PASS
3142526,S31,U000026,,,PASS
3162220,S10,U000045,,,PASS
3168625,S21,U000034,,,PASS
3208696,S31,U000027,,,PASS
3212176,S10,U000046,,,PASS
3231348,S21,U000035,,,PASS
3265059,S31,U000028,,,PASS
3275603,S10,U000047,,,PASS
3299956,S21,U000036,,,PASS
3336276,S31,U000029,,,PASS
3346414,S10,U000048,,,PASS
3365786,S21,U000037,,,PASS
3391686,S10,U000049,,,PASS
3400470,S31,U000030,,,PASS
3435288,S21,U000038,,,PASS
3462351,S10,U000050,,,PASS
3463933,S31,U000031,,,PASS
3489359,S21,U000039,,,PASS
3511828,S10,U000051,,,PASS
3517535,S31,U000032,,,PASS
3550442,S21,U000040,,,PASS
3569796,S10,U000052,,,PASS
3584103,S31,U000033,,,PASS
3607925,S21,U000041,,,PASS
3640099,S10,U000053,,,PASS
