event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,44274
EV000002,44274,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,44274
EV000003,44274,UNIT_ARRIVED,S02,U000001,1,,,
EV000004,44274,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,36202
EV000005,44274,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,40063
EV000006,80476,PROCESSING_COMPLETED,S02,U000001,0,PROCESSING,,36202
EV000007,80476,UNIT_ARRIVED,S03,U000001,1,,,
EV000008,80476,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,43724
EV000009,84337,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,40063
EV000010,84337,UNIT_ARRIVED,S02,U000002,1,,,
EV000011,84337,PROCESSING_STARTED,S02,U000002,0,STARVED,PROCESSING,40952
EV000012,84337,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,37096
EV000013,121433,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,37096
EV000014,121433,UNIT_ARRIVED,S02,U000003,1,,,
EV000015,121433,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,48878
EV000016,124200,PROCESSING_COMPLETED,S03,U000001,0,PROCESSING,,43724
EV000017,124200,UNIT_ARRIVED,S04,U000001,1,,,
EV000018,124200,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,50717
EV000019,125289,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,40952
EV000020,125289,UNIT_ARRIVED,S03,U000002,1,,,
EV000021,125289,PROCESSING_STARTED,S03,U000002,0,STARVED,PROCESSING,46956
EV000022,125289,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,45544
EV000023,170311,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,48878
EV000024,170311,UNIT_ARRIVED,S02,U000004,1,,,
EV000025,170311,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,35996
EV000026,170833,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,45544
EV000027,170833,UNIT_ARRIVED,S03,U000003,1,,,
EV000028,170833,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,38191
EV000029,172245,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,46956
EV000030,172245,UNIT_ARRIVED,S04,U000002,1,,,
EV000031,172245,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,42304
EV000032,174917,PROCESSING_COMPLETED,S04,U000001,1,PROCESSING,,50717
EV000033,174917,UNIT_ARRIVED,S05,U000001,1,,,
EV000034,174917,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,56425
