event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,42326
EV000002,42326,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,42326
EV000003,42326,UNIT_ARRIVED,S02,U000001,1,,,
EV000004,42326,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,40462
EV000005,42326,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,32655
EV000006,74981,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,32655
EV000007,74981,UNIT_ARRIVED,S02,U000002,1,,,
EV000008,74981,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,36679
EV000009,82788,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,40462
EV000010,82788,UNIT_ARRIVED,S03,U000001,1,,,
EV000011,82788,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,46728
EV000012,82788,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,38994
EV000013,111660,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,36679
EV000014,111660,UNIT_ARRIVED,S02,U000003,1,,,
EV000015,111660,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,35495
EV000016,121782,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,38994
EV000017,121782,UNIT_ARRIVED,S03,U000002,1,,,
EV000018,121782,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,43480
EV000019,129516,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,46728
EV000020,129516,UNIT_ARRIVED,S04,U000001,1,,,
EV000021,129516,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,54944
EV000022,129516,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,45545
EV000023,147155,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,35495
EV000024,147155,UNIT_ARRIVED,S02,U000004,1,,,
EV000025,147155,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,35558
EV000026,165262,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,43480
EV000027,165262,UNIT_ARRIVED,S03,U000003,1,,,
EV000028,165262,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,33244
EV000029,175061,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,45545
EV000030,175061,UNIT_ARRIVED,S04,U000002,1,,,
EV000031,175061,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,50788
EV000032,182713,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,35558
EV000033,182713,UNIT_ARRIVED,S02,U000005,1,,,
EV000034,182713,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,39997
EV000035,184460,PROCESSING_COMPLETED,S04,U000001,1,PROCESSING,,54944
EV000036,184460,UNIT_ARRIVED,S05,U000001,1,,,
EV000037,184460,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,55771
EV000038,184460,PROCESSING_STARTED,S04,U000002,0,IDLE,PROCESSING,51892
EV000039,198506,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,33244
EV000040,198506,UNIT_ARRIVED,S03,U000004,1,,,
EV000041,198506,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,46921
EV000042,222710,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,39997
EV000043,222710,UNIT_ARRIVED,S02,U000006,1,,,
EV000044,222710,PROCESSING_STARTED,S01,U000007,0,IDLE,PROCESSING,41729
EV000045,225849,PROCESSING_COMPLETED,S03,U000003,1,PROCESSING,,50788
EV000046,225849,UNIT_ARRIVED,S04,U000003,1,,,
EV000047,225849,PROCESSING_STARTED,S03,U000004,0,IDLE,PROCESSING,52423
EV000048,236352,PROCESSING_COMPLETED,S04,U000002,1,PROCESSING,,51892
EV000049,236352,UNIT_ARRIVED,S05,U000002,1,,,
EV000050,236352,PROCESSING_STARTED,S04,U000003,0,IDLE,PROCESSING,57656
EV000051,240231,PROCESSING_COMPLETED,S05,U000001,1,PROCESSING,,55771
EV000052,240231,UNIT_ARRIVED,S06,U000001,1,,,
EV000053,240231,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,72397
EV000054,240231,PROCESSING_STARTED,S05,U000002,0,IDLE,PROCESSING,54093
EV000055,245427,PROCESSING_COMPLETED,S02,U000005,1,PROCESSING,,46921
EV000056,245427,UNIT_ARRIVED,S03,U000005,1,,,
EV000057,245427,PROCESSING_STARTED,S02,U000006,0,IDLE,PROCESSING,44467
EV000058,264439,PROCESSING_COMPLETED,S01,U000007,0,PROCESSING,,41729
EV000059,264439,UNIT_ARRIVED,S02,U000007,1,,,
EV000060,264439,PROCESSING_STARTED,S01,U000008,0,IDLE,PROCESSING,35588
EV000061,278272,PROCESSING_COMPLETED,S03,U000004,1,PROCESSING,,52423
EV000062,278272,UNIT_ARRIVED,S04,U000004,1,,,
EV000063,278272,PROCESSING_STARTED,S03,U000005,0,IDLE,PROCESSING,54612
EV000064,289894,PROCESSING_COMPLETED,S02,U000006,1,PROCESSING,,44467
EV000065,289894,UNIT_ARRIVED,S03,U000006,1,,,
EV000066,289894,PROCESSING_STARTED,S02,U000007,0,IDLE,PROCESSING,48101
EV000067,294008,PROCESSING_COMPLETED,S04,U000003,1,PROCESSING,,57656
EV000068,294008,UNIT_ARRIVED,S05,U000003,1,,,
EV000069,294008,PROCESSING_STARTED,S04,U000004,0,IDLE,PROCESSING,41329
EV000070,294324,PROCESSING_COMPLETED,S05,U000002,1,PROCESSING,,54093
EV000071,294324,UNIT_ARRIVED,S06,U000002,1,,,
EV000072,294324,PROCESSING_STARTED,S05,U000003,0,IDLE,PROCESSING,61225
EV000073,300027,PROCESSING_COMPLETED,S01,U000008,0,PROCESSING,,35588
EV000074,300027,UNIT_ARRIVED,S02,U000008,1,,,
