timestamp_ms,station_id,unit_id,defect_type,severity,result
485716,S10,U000001,,,PASS
537765,S10,U000002,,,PASS
585176,S10,U000003,,,PASS
651813,S10,U000004,,,PASS
734802,S10,U000005,,,PASS
808874,S10,U000006,,,PASS
868082,S10,U000007,,,PASS
938863,S10,U000008,,,PASS
955098,S20,U000001,,,PASS
987275,S10,U000009,,,PASS
1039632,S10,U000010,,,PASS
1072829,S20,U000002,,,PASS
1097445,S10,U000011,,,PASS
1128376,S20,U000003,,,PASS
1156850,S10,U000012,,,PASS
1196770,S20,U000004,,,PASS
1222659,S10,U000013,,,PASS
1246254,S20,U000005,,,PASS
1283798,S10,U000014,,,PASS
1317759,S20,U000006,,,PASS
1335777,S10,U000015,,,PASS
1402054,S10,U000016,,,PASS
1410481,S20,U000007,,,PASS
1465204,S20,U000008,,,PASS
1472211,S10,U000017,,,PASS
1481485,S30,U000001,,,PASS
1531421,S20,U000009,,,PASS
1539277,S10,U000018,,,PASS
1576223,S30,U000002,,,PASS
1605468,S10,U000019,,,PASS
1605737,S20,U000010,,,PASS
1655276,S10,U000020,,,PASS
1662532,S20,U000011,,,PASS
1666282,S30,U000003,,,PASS
1719530,S10,U000021,,,PASS
1727526,S20,U000012,,,PASS
1740204,S30,U000004,,,PASS
1783694,S10,U000022,,,PASS
1793524,S20,U000013,,,PASS
1816319,S30,U000005,,,PASS
1858212,S20,U000014,,,PASS
1876852,S10,U000023,,,PASS
1896408,S30,U000006,,,PASS
1922726,S10,U000024,,,PASS
1927024,S20,U000015,,,PASS
1942080,S30,U000007,,,PASS
1950440,S40,U000001,,,PASS
1989190,S10,U000025,,,PASS
1992719,S20,U000016,,,PASS
2034864,S30,U000008,,,PASS
2037123,S10,U000026,,,PASS
2043811,S20,U000017,,,PASS
2046053,S40,U000002,,,PASS
2084012,S30,U000009,,,PASS
2085018,S10,U000027,,,PASS
2100314,S20,U000018,,,PASS
2136387,S10,U000028,,,PASS
2140873,S30,U000010,,,PASS
2146547,S40,U000003,,,PASS
2172062,S20,U000019,,,PASS
2192870,S40,U000004,,,PASS
2218729,S10,U000029,,,PASS
2226938,S30,U000011,,,PASS
2228594,S20,U000020,,,PASS
2271712,S30,U000012,,,PASS
2278230,S40,U000005,,,PASS
2283124,S10,U000030,,,PASS
2294978,S20,U000021,,,PASS
2339121,S10,U000031,,,PASS
2352066,S20,U000022,,,PASS
2358768,S30,U000013,,,PASS
2375322,S40,U000006,,,PASS
2401171,S10,U000032,,,PASS
2412119,S30,U000014,,,PASS
2419376,S20,U000023,,,PASS
2419494,S40,U000007,,,PASS
2458924,S10,U000033,,,PASS
2480040,S30,U000015,,,PASS
2483087,S20,U000024,,,PASS
2507614,S10,U000034,,,PASS
2531861,S30,U000016,,,PASS
2533407,S40,U000008,,,PASS
2534088,S20,U000025,,,PASS
2557289,S10,U000035,,,PASS
2592185,S30,U000017,,,PASS
2606037,S10,U000036,,,PASS
2617859,S20,U000026,,,PASS
2617952,S40,U000009,,,PASS
2645101,S30,U000018,,,PASS
2666674,S40,U000010,,,PASS
2670099,S10,U000037,,,PASS
2688928,S20,U000027,,,PASS
2708289,S40,U000011,,,PASS
2733205,S30,U000019,,,PASS
2741842,S10,U000038,,,PASS
2765311,S40,U000012,,,PASS
2768566,S20,U000028,,,PASS
2789327,S30,U000020,,,PASS
2796420,S10,U000039,,,PASS
2819597,S20,U000029,,,PASS
2832497,S40,U000013,,,PASS
2857496,S10,U000040,,,PASS
2870883,S30,U000021,,,PASS
2870932,S20,U000030,,,PASS
2903383,S40,U000014,,,PASS
2922476,S30,U000022,,,PASS
2926843,S20,U000031,,,PASS
2945902,S10,U000041,,,PASS
2968515,S40,U000015,,,PASS
2970540,S20,U000032,,,PASS
2980348,S30,U000023,,,PASS
2997642,S10,U000042,,,PASS
3026107,S30,U000024,,,PASS
3026879,S40,U000016,,,PASS
3041703,S20,U000033,,,PASS
3071317,S10,U000043,,,PASS
3073495,S40,U000017,,,PASS
3103461,S20,U000034,,,PASS
3131617,S30,U000025,,,PASS
3134082,S10,U000044,,,PASS
3139956,S40,U000018,,,PASS
3159992,S20,U000035,,,PASS
3185660,S30,U000026,,,PASS
3191565,S10,U000045,,,PASS
3226663,S30,U000027,,,PASS
3227025,S20,U000036,,,PASS
3229478,S40,U000019,,,PASS
3248277,S10,U000046,,,PASS
3283547,S20,U000037,,,PASS
3291246,S30,U000028,,,PASS
3297287,S10,U000047,,,PASS
3303354,S40,U000020,,,PASS
3341572,S10,U000048,,,PASS
3350576,S20,U000038,,,PASS
3371776,S40,U000021,,,PASS
3376817,S30,U000029,,,PASS
3392740,S10,U000049,,,PASS
3418228,S20,U000039,,,PASS
3426102,S30,U000030,,,PASS
3444668,S40,U000022,,,PASS
3459189,S10,U000050,,,PASS
3484482,S20,U000040,,,PASS
3497067,S40,U000023,,,PASS
3503645,S30,U000031,,,PASS
3524861,S10,U000051,,,PASS
3542993,S20,U000041,,,PASS
3546526,S40,U000024,,,PASS
3547905,S30,U000032,,,PASS
3588425,S10,U000052,,,PASS
3608071,S30,U000033,,,PASS
3611362,S20,U000042,,,PASS
3633769,S40,U000025,,,PASS
3641443,S10,U000053,,,PASS
3664024,S20,U000043,,,PASS
3672205,S30,U000034,,,PASS
3710676,S40,U000026,,,PASS
3726402,S20,U000044,,,PASS
3727681,S10,U000054,,,PASS
3744188,S30,U000035,,,PASS
3762575,S40,U000027,,,PASS
3771519,S10,U000055,,,PASS
3790732,S20,U000045,,,PASS
3792485,S30,U000036,,,PASS
3819975,S40,U000028,,,PASS
3840001,S20,U000046,,,PASS
3840025,S10,U000056,,,PASS
3858902,S30,U000037,,,PASS
3889170,S10,U000057,,,PASS
3901668,S40,U000029,,,PASS
3905655,S30,U000038,,,PASS
3913024,S20,U000047,,,PASS
3947099,S10,U000058,,,PASS
3962948,S40,U000030,,,PASS
3972689,S30,U000039,,,PASS
4004056,S20,U000048,,,PASS
4020862,S10,U000059,,,PASS
4030840,S30,U000040,,,PASS
4038865,S40,U000031,,,PASS
4051390,S20,U000049,,,PASS
4072377,S10,U000060,,,PASS
4112226,S30,U000041,,,PASS
4131660,S20,U000050,,,PASS
4136278,S40,U000032,,,PASS
4154883,S10,U000061,,,PASS
4171934,S30,U000042,,,PASS
4177761,S40,U000033,,,PASS
4181614,S20,U000051,,,PASS
4208666,S10,U000062,,,PASS
4218372,S30,U000043,,,PASS
4244337,S40,U000034,,,PASS
4256216,S20,U000052,,,PASS
4284201,S10,U000063,,,PASS
4296090,S40,U000035,,,PASS
4301785,S30,U000044,,,PASS
4302651,S20,U000053,,,PASS
4336815,S10,U000064,,,PASS
4349714,S20,U000054,,,PASS
4366796,S30,U000045,,,PASS
4391868,S40,U000036,,,PASS
4405133,S20,U000055,,,PASS
4417077,S10,U000065,,,PASS
4430774,S30,U000046,,,PASS
4452315,S40,U000037,,,PASS
4471846,S20,U000056,,,PASS
4481003,S10,U000066,,,PASS
4521332,S30,U000047,,,PASS
4523391,S40,U000038,,,PASS
4528308,S10,U000067,,,PASS
4536268,S20,U000057,,,PASS
4581027,S10,U000068,,,PASS
4582433,S30,U000048,,,PASS
4588219,S40,U000039,,,PASS
4608887,S20,U000058,,,PASS
4623314,S10,U000069,,,PASS
4644989,S30,U000049,,,PASS
4648615,S20,U000059,,,PASS
4657276,S40,U000040,,,PASS
4685529,S10,U000070,,,PASS
4697299,S30,U000050,,,PASS
4711488,S40,U000041,,,PASS
4725472,S20,U000060,,,PASS
4741342,S10,U000071,,,PASS
4745456,S30,U000051,,,PASS
4769116,S40,U000042,,,PASS
4778573,S20,U000061,,,PASS
4796038,S30,U000052,,,PASS
4816523,S10,U000072,,,PASS
4832954,S40,U000043,,,PASS
4842429,S20,U000062,,,PASS
4852784,S30,U000053,,,PASS
4864802,S10,U000073,,,PASS
4889914,S40,U000044,,,PASS
4897411,S20,U000063,,,PASS
4902171,S30,U000054,,,PASS
