unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,37675,MODEL_A,BATCH_01
U000003,70418,MODEL_A,BATCH_01
U000004,103144,MODEL_A,BATCH_01
U000005,140701,MODEL_B,BATCH_01
U000006,176733,MODEL_A,BATCH_01
U000007,215398,MODEL_A,BATCH_02
U000008,261674,MODEL_A,BATCH_01
U000009,300146,MODEL_A,BATCH_01
U000010,339910,MODEL_B,BATCH_01
U000011,368480,MODEL_A,BATCH_01
U000012,398949,MODEL_A,BATCH_01
U000013,434623,MODEL_A,BATCH_01
U000014,475853,MODEL_A,BATCH_02
U000015,512926,MODEL_B,BATCH_01
U000016,551122,MODEL_A,BATCH_01
U000017,591500,MODEL_A,BATCH_01
U000018,623483,MODEL_A,BATCH_01
U000019,665849,MODEL_A,BATCH_01
U000020,707950,MODEL_B,BATCH_01
U000021,744475,MODEL_A,BATCH_02
U000022,778964,MODEL_A,BATCH_01
U000023,819740,MODEL_A,BATCH_01
U000024,854543,MODEL_A,BATCH_01
U000025,898900,MODEL_B,BATCH_01
U000026,942805,MODEL_A,BATCH_01
U000027,980110,MODEL_A,BATCH_01
U000028,1018277,MODEL_A,BATCH_02
U000029,1051139,MODEL_A,BATCH_01
U000030,1090487,MODEL_B,BATCH_01
U000031,1129059,MODEL_A,BATCH_01
U000032,1169034,MODEL_A,BATCH_01
U000033,1205801,MODEL_A,BATCH_01
U000034,1239220,MODEL_A,BATCH_01
U000035,1276201,MODEL_B,BATCH_02
U000036,1320042,MODEL_A,BATCH_01
U000037,1365699,MODEL_A,BATCH_01
U000038,1404880,MODEL_A,BATCH_01
U000039,1444910,MODEL_A,BATCH_01
U000040,1484269,MODEL_B,BATCH_01
U000041,1529131,MODEL_A,BATCH_01
U000042,1575875,MODEL_A,BATCH_02
U000043,1616281,MODEL_A,BATCH_01
U000044,1670319,MODEL_A,BATCH_01
U000045,1714017,MODEL_B,BATCH_01
U000046,1763979,MODEL_A,BATCH_01
U000047,1814176,MODEL_A,BATCH_01
U000048,1867151,MODEL_A,BATCH_01
U000049,1915998,MODEL_A,BATCH_02
U000050,1962264,MODEL_B,BATCH_01
U000051,2011150,MODEL_A,BATCH_01
U000052,2057111,MODEL_A,BATCH_01
U000053,2106027,MODEL_A,BATCH_01
U000054,2148328,MODEL_A,BATCH_01
U000055,2193741,MODEL_B,BATCH_01
U000056,2238389,MODEL_A,BATCH_02
U000057,2286327,MODEL_A,BATCH_01
U000058,2334835,MODEL_A,BATCH_01
U000059,2378627,MODEL_A,BATCH_01
U000060,2422843,MODEL_B,BATCH_01
