event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,43608
EV000002,43608,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,43608
EV000003,43608,UNIT_ARRIVED,S02,U000001,1,,,
EV000004,43608,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,39280
EV000005,43608,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,37832
EV000006,81440,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,37832
EV000007,81440,UNIT_ARRIVED,S02,U000002,1,,,
EV000008,81440,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,35307
EV000009,82888,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,39280
EV000010,82888,UNIT_ARRIVED,S03,U000001,1,,,
EV000011,82888,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,54150
EV000012,82888,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,45581
EV000013,116747,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,35307
EV000014,116747,UNIT_ARRIVED,S02,U000003,1,,,
EV000015,116747,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,40854
EV000016,128469,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,45581
EV000017,128469,UNIT_ARRIVED,S03,U000002,1,,,
EV000018,128469,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,44866
EV000019,137038,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,54150
EV000020,137038,UNIT_ARRIVED,S04,U000001,1,,,
EV000021,137038,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,41930
EV000022,137038,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,56191
EV000023,157601,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,40854
EV000024,157601,UNIT_ARRIVED,S02,U000004,1,,,
EV000025,157601,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,35587
EV000026,173335,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,44866
EV000027,173335,UNIT_ARRIVED,S03,U000003,1,,,
EV000028,173335,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,42927
EV000029,178968,PROCESSING_COMPLETED,S04,U000001,0,PROCESSING,,41930
EV000030,178968,UNIT_ARRIVED,S05,U000001,1,,,
EV000031,178968,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,48985
EV000032,193188,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,35587
EV000033,193188,UNIT_ARRIVED,S02,U000005,1,,,
EV000034,193188,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,43364
EV000035,193229,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,56191
EV000036,193229,UNIT_ARRIVED,S04,U000002,1,,,
EV000037,193229,PROCESSING_STARTED,S04,U000002,0,STARVED,PROCESSING,45907
EV000038,193229,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,48937
EV000039,216262,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,42927
EV000040,216262,UNIT_ARRIVED,S03,U000004,1,,,
EV000041,216262,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,34812
EV000042,227953,PROCESSING_COMPLETED,S05,U000001,0,PROCESSING,,48985
EV000043,227953,UNIT_ARRIVED,S06,U000001,1,,,
EV000044,227953,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,68993
EV000045,236552,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,43364
EV000046,236552,UNIT_ARRIVED,S02,U000006,1,,,
EV000047,236552,PROCESSING_STARTED,S01,U000007,0,IDLE,PROCESSING,31621
EV000048,239136,PROCESSING_COMPLETED,S04,U000002,0,PROCESSING,,45907
EV000049,239136,UNIT_ARRIVED,S05,U000002,1,,,
