case_type,run_id,station_id_buffer_id,prediction_time,y_bottleneck,predicted_probability,threshold,rank,feature,feature_value,shap_value,direction
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,1,station_id,S06,2.419624090194702,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,2,current_occupancy,8.0,1.6675382852554321,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,3,queue_std_10m,1.5376233980678475,0.7545207738876343,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,4,queue_max_10m,8.0,0.5674867630004883,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,5,eta_std,30181.44586529359,0.3866082727909088,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,6,queue_mean_10m,5.25,0.3271830677986145,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,7,station_index,5,0.2895520031452179,raises risk
TP,train_193_intermittent,S06,5239446,1,0.9843655824661255,0.1555924266576767,8,capacity_headroom,4.0,0.25325408577919006,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,1,station_id,S06,2.531921148300171,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,2,current_occupancy,6.0,1.5263780355453491,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,3,queue_std_10m,1.1954705339617753,0.765815794467926,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,4,queue_max_10m,7.0,0.5892742276191711,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,5,eta_std,82066.07783865315,0.416677862405777,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,6,queue_mean_10m,5.3076923076923075,0.3368794322013855,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,7,station_index,5,0.29109522700309753,raises risk
TP,train_195_severe,S06,4622047,1,0.9842580556869507,0.1555924266576767,8,queue_slope_10m,6.0268910770204495e-06,0.253652960062027,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,1,station_id,S06,2.6313130855560303,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,2,current_occupancy,6.0,1.4518929719924927,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,3,queue_std_10m,1.3725671643976933,0.7589333057403564,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,4,queue_max_10m,7.0,0.5617795586585999,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,5,eta_std,67172.79345833078,0.41272231936454773,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,6,station_index,5,0.2936769723892212,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,7,queue_mean_10m,4.435897435897436,0.2734248638153076,raises risk
TP,train_184_gradual,S06,4419873,1,0.9842580556869507,0.1555924266576767,8,queue_slope_10m,6.801722791022829e-06,0.2366861253976822,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,1,station_id,S02,2.3422279357910156,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,2,current_occupancy,8.0,1.600787878036499,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,3,queue_std_10m,1.424150669067403,0.8226489424705505,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,4,queue_max_10m,8.0,0.5567060112953186,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,5,eta_std,34640.67549568239,0.3836028575897217,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,6,queue_mean_10m,5.35,0.3332987129688263,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,7,station_index,1,0.29060807824134827,raises risk
TP,train_193_intermittent,S02,9368352,1,0.9839555621147156,0.1555924266576767,8,capacity_headroom,4.0,0.21875429153442383,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,1,station_id,S06,2.5310018062591553,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,2,current_occupancy,7.0,1.5544965267181396,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,3,queue_std_10m,1.2741592449048587,0.760797381401062,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,4,queue_max_10m,7.0,0.5530459880828857,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,5,eta_std,60438.34257681327,0.378863126039505,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,6,station_index,5,0.2880886495113373,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,7,queue_mean_10m,4.538461538461538,0.2815478444099426,raises risk
TP,train_187_accelerating,S06,5113948,1,0.9837870001792908,0.1555924266576767,8,queue_slope_10m,6.585287173454547e-06,0.2422787845134735,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,1,current_occupancy,6.0,2.497715473175049,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,2,station_id,S10,0.8119974732398987,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,3,queue_std_10m,1.0642254261084716,0.7042516469955444,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,4,queue_max_10m,6.0,0.65416020154953,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,5,queue_mean_10m,4.151515151515151,0.5115447044372559,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,6,eta_std,80633.17960673184,0.34238094091415405,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,7,queue_slope_10m,5.151360312631238e-06,0.23647500574588776,raises risk
FP,train_193_intermittent,S10,23813506,0,0.9515547752380371,0.1555924266576767,8,capacity_utilization,0.6,0.17857612669467926,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,1,current_occupancy,6.0,2.4952714443206787,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,2,station_id,S10,0.8620731234550476,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,3,queue_max_10m,6.0,0.6547598242759705,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,4,queue_mean_10m,4.647058823529412,0.5106001496315002,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,5,queue_std_10m,0.9497161598676338,0.4890560805797577,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,6,eta_std,101238.69212181424,0.3444575071334839,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,7,queue_slope_10m,4.499470423244781e-06,0.20842739939689636,raises risk
FP,train_193_intermittent,S10,23909480,0,0.9452508687973022,0.1555924266576767,8,capacity_utilization,0.6,0.1728377789258957,raises risk
FP,train_193_intermittent,S10,23781441,0,0.9204140901565552,0.1555924266576767,1,current_occupancy,5.0,1.8373003005981445,raises risk
