timestamp_ms,station_id,sensor_type,value,unit
0,S01,VIBRATION,0.791993,g
0,S01,TEMPERATURE,42.2574,C
0,S01,CURRENT,12.5183,A
0,S01,TORQUE,50.6744,Nm
0,S02,VIBRATION,0.241614,g
0,S02,TEMPERATURE,39.7457,C
0,S02,CURRENT,2.32039,A
0,S02,TORQUE,12.9197,Nm
0,S06,VIBRATION,0.186716,g
0,S06,TEMPERATURE,39.9515,C
0,S06,CURRENT,2.30114,A
0,S06,TORQUE,12.9301,Nm
0,S16,VIBRATION,0.166454,g
0,S16,TEMPERATURE,39.8494,C
0,S16,CURRENT,2.08697,A
0,S16,TORQUE,12.53,Nm
0,S32,VIBRATION,0.158544,g
0,S32,TEMPERATURE,40.0567,C
0,S15,VIBRATION,0.190131,g
0,S15,TEMPERATURE,39.8921,C
0,S15,CURRENT,2.09153,A
0,S15,TORQUE,12.9028,Nm
0,S05,VIBRATION,0.206517,g
0,S05,TEMPERATURE,39.7516,C
0,S05,CURRENT,2.28059,A
0,S05,TORQUE,11.6598,Nm
0,S14,VIBRATION,0.142471,g
0,S14,TEMPERATURE,40.0593,C
0,S31,VIBRATION,0.154991,g
0,S31,TEMPERATURE,39.7601,C
0,S29,VIBRATION,0.173068,g
0,S29,TEMPERATURE,39.8661,C
0,S29,CURRENT,2.22843,A
0,S29,TORQUE,13.0623,Nm
0,S12,VIBRATION,0.16809,g
0,S12,TEMPERATURE,40.0941,C
0,S12,CURRENT,2.46067,A
0,S12,TORQUE,12.1117,Nm
0,S28,VIBRATION,0.174726,g
0,S28,TEMPERATURE,39.7603,C
0,S28,CURRENT,2.02408,A
0,S28,TORQUE,12.3392,Nm
0,S27,VIBRATION,0.144,g
0,S27,TEMPERATURE,40.1087,C
0,S03,VIBRATION,0.138828,g
0,S03,TEMPERATURE,39.8328,C
0,S03,CURRENT,1.99368,A
0,S03,TORQUE,12.4487,Nm
0,S04,VIBRATION,0.177099,g
0,S04,TEMPERATURE,40.125,C
0,S11,VIBRATION,0.14731,g
0,S11,TEMPERATURE,39.6668,C
0,S11,CURRENT,2.07902,A
0,S11,TORQUE,12.9719,Nm
0,S26,VIBRATION,0.195122,g
0,S26,TEMPERATURE,40.1757,C
0,S26,CURRENT,2.13027,A
0,S26,TORQUE,12.4392,Nm
0,S25,VIBRATION,0.210332,g
0,S25,TEMPERATURE,39.753,C
0,S25,CURRENT,2.37299,A
0,S25,TORQUE,12.8547,Nm
0,S10,VIBRATION,0.13884,g
0,S10,TEMPERATURE,39.8456,C
0,S23,VIBRATION,0.195557,g
0,S23,TEMPERATURE,39.6667,C
0,S23,CURRENT,2.0092,A
0,S23,TORQUE,12.3037,Nm
0,S22,VIBRATION,0.0871572,g
0,S22,TEMPERATURE,39.9992,C
0,S22,CURRENT,2.41266,A
0,S22,TORQUE,12.6402,Nm
0,S07,VIBRATION,0.111973,g
0,S07,TEMPERATURE,39.7864,C
0,S07,CURRENT,2.35097,A
0,S07,TORQUE,12.3189,Nm
0,S09,VIBRATION,0.21894,g
0,S09,TEMPERATURE,39.7979,C
0,S21,VIBRATION,0.205456,g
0,S21,TEMPERATURE,39.8349,C
0,S20,VIBRATION,0.190622,g
0,S20,TEMPERATURE,40.0248,C
0,S20,CURRENT,2.22839,A
0,S20,TORQUE,12.5974,Nm
0,S17,VIBRATION,0.150573,g
0,S17,TEMPERATURE,39.8021,C
0,S17,CURRENT,2.06963,A
0,S17,TORQUE,12.3098,Nm
0,S19,VIBRATION,0.160786,g
0,S19,TEMPERATURE,39.7856,C
0,S19,CURRENT,2.1683,A
0,S19,TORQUE,12.3095,Nm
