unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,35560,MODEL_A,BATCH_01
U000003,72775,MODEL_A,BATCH_01
U000004,109007,MODEL_A,BATCH_01
U000005,151285,MODEL_B,BATCH_01
U000006,190339,MODEL_A,BATCH_01
U000007,233101,MODEL_A,BATCH_02
U000008,270130,MODEL_A,BATCH_01
U000009,302822,MODEL_A,BATCH_01
U000010,336377,MODEL_B,BATCH_01
U000011,374640,MODEL_A,BATCH_01
U000012,412339,MODEL_A,BATCH_01
U000013,444279,MODEL_A,BATCH_01
U000014,480384,MODEL_A,BATCH_02
U000015,519999,MODEL_B,BATCH_01
U000016,566823,MODEL_A,BATCH_01
U000017,596409,MODEL_A,BATCH_01
U000018,640045,MODEL_A,BATCH_01
U000019,679841,MODEL_A,BATCH_01
U000020,718504,MODEL_B,BATCH_01
U000021,755608,MODEL_A,BATCH_02
U000022,792913,MODEL_A,BATCH_01
U000023,827441,MODEL_A,BATCH_01
U000024,867676,MODEL_A,BATCH_01
U000025,904448,MODEL_B,BATCH_01
U000026,939071,MODEL_A,BATCH_01
U000027,979371,MODEL_A,BATCH_01
U000028,1018994,MODEL_A,BATCH_02
U000029,1058499,MODEL_A,BATCH_01
U000030,1098180,MODEL_B,BATCH_01
U000031,1139009,MODEL_A,BATCH_01
U000032,1178295,MODEL_A,BATCH_01
U000033,1213449,MODEL_A,BATCH_01
U000034,1248498,MODEL_A,BATCH_01
U000035,1285183,MODEL_B,BATCH_02
U000036,1319803,MODEL_A,BATCH_01
U000037,1353307,MODEL_A,BATCH_01
U000038,1385564,MODEL_A,BATCH_01
U000039,1430993,MODEL_A,BATCH_01
U000040,1481537,MODEL_B,BATCH_01
U000041,1534226,MODEL_A,BATCH_01
U000042,1579782,MODEL_A,BATCH_02
U000043,1623907,MODEL_A,BATCH_01
U000044,1675964,MODEL_A,BATCH_01
U000045,1728573,MODEL_B,BATCH_01
U000046,1773559,MODEL_A,BATCH_01
U000047,1823476,MODEL_A,BATCH_01
U000048,1871692,MODEL_A,BATCH_01
U000049,1920080,MODEL_A,BATCH_02
U000050,1966638,MODEL_B,BATCH_01
U000051,2013671,MODEL_A,BATCH_01
U000052,2066701,MODEL_A,BATCH_01
U000053,2114630,MODEL_A,BATCH_01
U000054,2161060,MODEL_A,BATCH_01
U000055,2207820,MODEL_B,BATCH_01
U000056,2253111,MODEL_A,BATCH_02
U000057,2295376,MODEL_A,BATCH_01
U000058,2344747,MODEL_A,BATCH_01
U000059,2386594,MODEL_A,BATCH_01
U000060,2432570,MODEL_B,BATCH_01
U000061,2478185,MODEL_A,BATCH_01
U000062,2524312,MODEL_A,BATCH_01
U000063,2578385,MODEL_A,BATCH_02
U000064,2631252,MODEL_A,BATCH_01
U000065,2682875,MODEL_B,BATCH_01
U000066,2730336,MODEL_A,BATCH_01
U000067,2782780,MODEL_A,BATCH_01
U000068,2831838,MODEL_A,BATCH_01
U000069,2888717,MODEL_A,BATCH_01
U000070,2938333,MODEL_B,BATCH_02
U000071,2987726,MODEL_A,BATCH_01
U000072,3036249,MODEL_A,BATCH_01
U000073,3091085,MODEL_A,BATCH_01
U000074,3165054,MODEL_A,BATCH_01
U000075,3225566,MODEL_B,BATCH_01
U000076,3286239,MODEL_A,BATCH_01
U000077,3343525,MODEL_A,BATCH_02
U000078,3416101,MODEL_A,BATCH_01
U000079,3483992,MODEL_A,BATCH_01
U000080,3549422,MODEL_B,BATCH_01
U000081,3616382,MODEL_A,BATCH_01
U000082,3670644,MODEL_A,BATCH_01
U000083,3732633,MODEL_A,BATCH_01
U000084,3809662,MODEL_A,BATCH_02
U000085,3874261,MODEL_B,BATCH_01
U000086,3936480,MODEL_A,BATCH_01
U000087,4012573,MODEL_A,BATCH_01
U000088,4074002,MODEL_A,BATCH_01
U000089,4127378,MODEL_A,BATCH_01
U000090,4191642,MODEL_B,BATCH_01
U000091,4252012,MODEL_A,BATCH_02
U000092,4304329,MODEL_A,BATCH_01
U000093,4362106,MODEL_A,BATCH_01
U000094,4420532,MODEL_A,BATCH_01
U000095,4480032,MODEL_B,BATCH_01
U000096,4540910,MODEL_A,BATCH_01
U000097,4596569,MODEL_A,BATCH_01
U000098,4658123,MODEL_A,BATCH_02
U000099,4721696,MODEL_A,BATCH_01
