event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,35560
EV000002,35560,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,35560
EV000003,35560,UNIT_ARRIVED,S02,U000001,1,,,
EV000004,35560,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,40261
EV000005,35560,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,37215
EV000006,72775,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,37215
EV000007,72775,UNIT_ARRIVED,S02,U000002,1,,,
EV000008,72775,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,36232
EV000009,75821,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,40261
EV000010,75821,UNIT_ARRIVED,S03,U000001,1,,,
EV000011,75821,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,54244
EV000012,75821,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,41850
EV000013,109007,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,36232
EV000014,109007,UNIT_ARRIVED,S02,U000003,1,,,
EV000015,109007,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,42278
EV000016,117671,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,41850
EV000017,117671,UNIT_ARRIVED,S03,U000002,1,,,
EV000018,117671,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,49512
EV000019,130065,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,54244
EV000020,130065,UNIT_ARRIVED,S04,U000001,1,,,
EV000021,130065,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,47767
EV000022,130065,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,40698
EV000023,151285,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,42278
EV000024,151285,UNIT_ARRIVED,S02,U000004,1,,,
EV000025,151285,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,39054
EV000026,167183,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,49512
EV000027,167183,UNIT_ARRIVED,S03,U000003,1,,,
EV000028,167183,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,49814
EV000029,170763,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,40698
EV000030,170763,UNIT_ARRIVED,S04,U000002,1,,,
EV000031,170763,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,42125
EV000032,177832,PROCESSING_COMPLETED,S04,U000001,1,PROCESSING,,47767
EV000033,177832,UNIT_ARRIVED,S05,U000001,1,,,
EV000034,177832,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,50903
EV000035,177832,PROCESSING_STARTED,S04,U000002,0,IDLE,PROCESSING,52140
EV000036,190339,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,39054
EV000037,190339,UNIT_ARRIVED,S02,U000005,1,,,
EV000038,190339,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,42762
EV000039,212888,PROCESSING_COMPLETED,S03,U000003,0,PROCESSING,,42125
EV000040,212888,UNIT_ARRIVED,S04,U000003,1,,,
EV000041,216997,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,49814
EV000042,216997,UNIT_ARRIVED,S03,U000004,1,,,
EV000043,216997,PROCESSING_STARTED,S03,U000004,0,STARVED,PROCESSING,50330
EV000044,216997,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,43717
EV000045,228735,PROCESSING_COMPLETED,S05,U000001,0,PROCESSING,,50903
EV000046,228735,UNIT_ARRIVED,S06,U000001,1,,,
EV000047,228735,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,63790
EV000048,229972,PROCESSING_COMPLETED,S04,U000002,1,PROCESSING,,52140
EV000049,229972,UNIT_ARRIVED,S05,U000002,1,,,
EV000050,229972,PROCESSING_STARTED,S05,U000002,0,STARVED,PROCESSING,59207
EV000051,229972,PROCESSING_STARTED,S04,U000003,0,IDLE,PROCESSING,56039
EV000052,233101,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,42762
EV000053,233101,UNIT_ARRIVED,S02,U000006,1,,,
